MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold
20,129,16737,9,5,2004,2005,66,0,533,1980,1980,0,0,1980,1,0,2,0,3,1,8,1,2004,3,770,194,45,0,0,0,0,0,9,2006
70,51,9842,5,6,1921,1998,0,0,612,612,990,1611,0,2601,0,0,3,1,4,1,8,0,1998,2,621,183,0,301,0,0,0,0,5,2008
20,124,16158,7,5,2005,2005,16,0,256,1530,1530,0,0,1530,1,0,2,0,3,1,7,1,2005,2,430,168,36,0,0,0,0,0,6,2009
50,70.049958368,12513,4,4,1920,2007,0,0,715,715,1281,457,0,1738,0,0,2,0,4,1,7,1,1920,1,368,55,0,0,0,0,0,0,6,2009
60,73,8499,6,5,2006,2007,0,0,616,616,616,796,0,1412,0,0,2,1,3,1,6,1,2007,2,432,0,36,0,0,0,0,0,3,2007
160,30,3180,7,5,2005,2005,0,0,600,600,520,600,80,1200,0,0,2,1,2,1,4,0,2005,2,480,0,166,0,0,0,0,0,4,2006
60,70.049958368,7500,7,5,2000,2000,0,0,281,814,814,860,0,1674,1,0,2,1,3,1,7,0,2000,2,663,0,96,0,0,0,0,0,1,2010
60,68,9179,7,5,1999,1999,158,0,240,873,882,908,0,1790,1,0,2,1,3,1,7,0,1999,2,588,0,88,0,0,0,0,0,6,2008
160,41,2665,5,6,1977,1977,0,173,36,757,925,550,0,1475,0,0,2,0,4,1,6,1,1977,1,336,104,26,0,0,0,0,0,7,2006
120,70.049958368,4435,6,5,2003,2004,170,0,163,848,848,0,0,848,1,0,1,0,1,1,4,0,2003,2,420,140,0,0,0,0,0,0,6,2009
20,48,10635,8,5,2003,2003,171,972,315,1657,1668,0,0,1668,1,0,2,0,3,1,8,1,2003,2,502,0,262,0,0,0,0,0,5,2010
50,90,5400,4,6,1920,1950,0,105,420,840,840,534,0,1374,0,0,1,0,2,1,6,0,1967,1,338,0,0,198,0,0,0,0,10,2009
80,80,9600,6,6,1955,1996,0,0,161,992,1661,0,0,1661,1,0,1,0,3,1,8,1,1955,1,377,0,28,0,0,178,0,0,10,2008
60,75,9750,7,6,1998,1998,0,0,133,1108,1108,989,0,2097,1,0,2,1,3,1,8,1,1998,2,583,253,170,0,0,0,0,0,6,2006
20,70.049958368,11400,10,5,2001,2002,705,0,1351,2633,2633,0,0,2633,1,0,2,1,2,1,8,2,2001,3,804,314,140,0,0,0,0,0,3,2007
60,85,10625,7,5,2005,2005,0,0,1026,1026,1026,932,0,1958,0,0,2,1,3,1,9,1,2005,3,936,154,210,0,0,0,0,0,7,2008
20,89,10991,8,5,2007,2007,80,0,1571,1571,1571,0,0,1571,0,0,2,0,3,1,7,1,2007,3,722,100,36,0,0,0,0,0,12,2007
30,52,6292,6,5,1930,1950,0,0,384,768,790,0,0,790,0,0,1,0,2,1,4,0,1925,1,160,0,141,0,0,0,0,0,4,2008
50,60,10998,5,5,1941,1960,0,420,156,984,984,620,0,1604,0,0,2,0,3,1,6,0,1977,2,660,0,68,0,0,0,0,0,7,2009
160,21,1953,6,5,1973,1973,408,0,174,483,483,504,0,987,0,0,1,1,2,1,5,0,1973,1,264,72,0,0,0,0,0,0,6,2006
80,73,9735,5,5,2006,2007,0,0,384,384,754,640,0,1394,0,0,2,1,3,1,7,0,2007,2,400,100,0,0,0,0,0,0,5,2008
30,45,8212,3,3,1914,1950,0,0,661,864,864,0,0,864,1,0,1,0,2,1,5,0,1938,1,200,0,0,96,0,0,0,0,6,2010
20,70.049958368,12925,6,7,1970,1970,0,0,340,1205,2117,0,0,2117,0,0,2,1,4,1,7,2,1970,2,550,0,42,0,0,0,0,0,5,2008
